Galaxy,Star,Period (Days)
AndIII,V040,0.6509999999999999
AndIII,V041,0.625
AndIII,V042,0.601
AndIII,V043,0.35200000000000004
AndIII,V044,0.5760000000000001
AndIII,V045,0.595
AndIII,V046,0.64
AndIII,V047,0.599
AndIII,V048,0.365
AndIII,V049,0.615
AndIII,V050,0.627
AndIII,V051,0.653
AndIII,V052,0.43200000000000005
AndIII,V053,0.645
AndIII,V054,0.593
AndIII,V055,0.6829999999999999
AndIII,V056,0.638
AndIII,V057,0.324
AndIII,V058,0.387
AndIII,V059,0.601
AndIII,V060,0.41100000000000003
AndIII,V061,0.361
AndIII,V062,0.708
AndIII,V063,0.604
AndIII,V064,0.305
AndIII,V065,0.5589999999999999
AndIII,V066,0.652
AndIII,V067,0.632
AndIII,V068,0.41100000000000003
AndIII,V069,0.591
AndIII,V070,0.57
AndIII,V071,0.603
AndIII,V072,0.304
AndIII,V073,1.003
AndIII,V074,0.5920000000000001
AndIII,V075,0.428
AndIII,V076,0.655
AndIII,V077,0.67
AndIII,V078,0.601
AndIII,V079,0.619
AndIII,V080,0.618
AndIII,V081,0.304
AndIII,V082,0.647
AndIII,V083,0.565
AndIII,V084,0.667
AndIII,V085,0.622
AndIII,V086,0.35600000000000004
AndIII,V087,0.604
AndIII,V088,0.629
AndIII,V089,0.598
AndIII,V090,0.644
AndIII,V091,0.6
AndIII,V092,0.584
AndIII,V093,0.62
AndIII,V094,0.655
AndIII,V095,1.171
AndIII,V096,0.616
AndIII,V097,0.643
AndIII,V098,0.615
AndIII,V099,0.64
AndIII,V100,0.645
AndIII,V101,0.605
AndIII,V102,0.606
AndIII,V103,0.529
AndIII,V104,0.597
AndIII,V105,0.818
AndIII,V106,0.633
AndIII,V107,0.628
AndIII,V108,0.593
AndIII,V109,0.628
AndIII,V110,0.601
AndIII,V111,0.593
AndIII,V112,0.619
AndIII,V113,0.40700000000000003
AndIII,V114,0.597
AndIII,V115,0.38299999999999995
AndIII,V116,0.302
AndXV,V001,0.503
AndXV,V002,0.618
AndXV,V003,0.5870000000000001
AndXV,V004,1.136
AndXV,V005,0.547
AndXV,V006,0.377
AndXV,V007,0.629
AndXV,V008,0.32899999999999996
AndXV,V009,0.365
AndXV,V010,0.5760000000000001
AndXV,V011,0.609
AndXV,V012,0.5429999999999999
AndXV,V013,0.608
AndXV,V014,0.518
AndXV,V015,0.621
AndXV,V016,0.868
AndXV,V017,0.677
AndXV,V018,0.601
AndXV,V019,0.7190000000000001
AndXV,V020,0.644
AndXV,V021,0.335
AndXV,V022,0.379
AndXV,V023,0.763
AndXV,V024,0.634
AndXV,V025,0.586
AndXV,V026,0.361
AndXV,V027,0.374
AndXV,V028,0.604
AndXV,V029,0.62
AndXV,V030,0.369
AndXV,V031,0.624
AndXV,V032,0.614
AndXV,V033,0.38299999999999995
AndXV,V034,0.594
AndXV,V035,0.586
AndXV,V036,0.608
AndXV,V037,0.29100000000000004
AndXV,V038,0.66
AndXV,V039,0.718
AndXV,V040,0.616
AndXV,V041,0.596
AndXV,V042,0.591
AndXV,V043,0.5539999999999999
AndXV,V044,0.387
AndXV,V045,0.354
AndXV,V046,0.639
AndXV,V047,0.57
AndXV,V048,0.557
AndXV,V049,0.609
AndXV,V050,0.5670000000000001
AndXV,V051,0.7190000000000001
AndXV,V052,1.3559999999999999
AndXV,V053,0.601
AndXV,V054,0.366
AndXV,V055,0.355
AndXV,V056,0.615
AndXV,V057,0.315
AndXV,V058,0.5329999999999999
AndXV,V059,0.657
AndXV,V060,0.38299999999999995
AndXV,V061,0.31
AndXV,V062,0.40399999999999997
AndXV,V063,0.5870000000000001
AndXV,V064,0.635
AndXV,V065,0.556
AndXV,V066,0.591
AndXV,V067,0.27399999999999997
AndXV,V068,0.629
AndXV,V069,0.619
AndXV,V070,0.555
AndXV,V071,0.5760000000000001
AndXV,V072,0.627
AndXV,V073,0.633
AndXV,V074,0.344
AndXV,V075,0.363
AndXV,V076,0.71
AndXV,V077,0.377
AndXV,V078,0.392
AndXV,V079,0.608
AndXV,V080,0.608
AndXV,V081,0.562
AndXV,V082,0.546
AndXV,V083,0.436
AndXV,V084,0.387
AndXV,V085,0.369
AndXV,V086,0.6409999999999999
AndXV,V087,0.43
AndXV,V088,0.365
AndXV,V089,0.579
AndXV,V090,0.355
AndXV,V091,0.574
AndXV,V092,0.414
AndXV,V093,0.703
AndXV,V094,0.589
AndXV,V095,0.648
AndXV,V096,0.5329999999999999
AndXV,V097,0.634
AndXV,V098,0.337
AndXV,V099,0.379
AndXV,V100,0.594
AndXV,V101,0.662
AndXV,V102,0.38299999999999995
AndXV,V103,0.718
AndXV,V104,0.708
AndXV,V105,0.6559999999999999
AndXV,V106,0.594
AndXV,V107,0.306
AndXV,V108,0.565
AndXV,V109,0.632
AndXV,V110,0.612
AndXV,V111,0.617
AndXV,V112,0.604
AndXV,V113,0.39799999999999996
AndXV,V114,0.519
AndXV,V115,0.516
AndXV,V116,0.541
AndXV,V117,2.186
AndXV,V118,0.359
AndXV,V119,0.361
AndXV,V120,0.522
AndXV,V121,0.585
AndXVI,V001,0.622
AndXVI,V002,0.358
AndXVI,V003,0.389
AndXVI,V004,0.35
AndXVI,V005,0.617
AndXVI,V006,0.64
AndXVI,V007,0.392
AndXVI,V008,0.289
AndXVI,V009,0.6509999999999999
AndXXVIII,V001,0.642
AndXXVIII,V002,0.608
AndXXVIII,V003,0.40700000000000003
AndXXVIII,V004,0.366
AndXXVIII,V005,0.565
AndXXVIII,V006,0.54
AndXXVIII,V007,0.6809999999999999
AndXXVIII,V008,0.341
AndXXVIII,V009,0.36200000000000004
AndXXVIII,V010,0.51
AndXXVIII,V011,0.366
AndXXVIII,V012,0.385
AndXXVIII,V013,0.366
AndXXVIII,V014,0.369
AndXXVIII,V015,0.6459999999999999
AndXXVIII,V016,0.397
AndXXVIII,V017,0.5579999999999999
AndXXVIII,V018,0.41200000000000003
AndXXVIII,V019,0.524
AndXXVIII,V020,0.6509999999999999
AndXXVIII,V021,0.332
AndXXVIII,V022,0.685
AndXXVIII,V023,0.635
AndXXVIII,V024,0.622
AndXXVIII,V025,0.309
AndXXVIII,V026,0.6459999999999999
AndXXVIII,V027,0.319
AndXXVIII,V028,0.289
AndXXVIII,V029,0.433
AndXXVIII,V030,0.373
AndXXVIII,V031,0.613
AndXXVIII,V032,0.556
AndXXVIII,V033,0.703
AndXXVIII,V034,0.371
AndXXVIII,V035,0.281
AndXXVIII,V036,0.57
AndXXVIII,V037,0.349
AndXXVIII,V038,0.301
AndXXVIII,V039,0.301
AndXXVIII,V040,0.6990000000000001
AndXXVIII,V041,0.364
AndXXVIII,V042,0.763
AndXXVIII,V043,0.313
AndXXVIII,V044,0.705
AndXXVIII,V045,0.389
AndXXVIII,V046,0.6759999999999999
AndXXVIII,V047,0.415
AndXXVIII,V048,0.615
AndXXVIII,V049,1.145
AndXXVIII,V050,0.342
AndXXVIII,V051,0.41600000000000004
AndXXVIII,V052,0.6920000000000001
AndXXVIII,V053,0.349
AndXXVIII,V054,0.345
AndXXVIII,V055,0.61
AndXXVIII,V056,0.509
AndXXVIII,V057,0.423
AndXXVIII,V058,0.387
AndXXVIII,V059,0.34600000000000003
AndXXVIII,V060,0.5589999999999999
AndXXVIII,V061,0.31
AndXXVIII,V062,0.385
AndXXVIII,V063,0.604
AndXXVIII,V064,0.7290000000000001
AndXXVIII,V065,0.38799999999999996
AndXXVIII,V066,0.36200000000000004
AndXXVIII,V067,0.5720000000000001
AndXXVIII,V068,1.389
AndXXVIII,V069,0.73
AndXXVIII,V070,0.365
AndXXVIII,V071,0.637
AndXXVIII,V072,0.546
AndXXVIII,V073,0.34
AndXXVIII,V074,0.5760000000000001
AndXXVIII,V075,0.331
AndXXVIII,V076,0.375
