Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AB UMa,56796.3694,10.216000000000001,0.02,I
AB UMa,56754.4854,10.815,0.011000000000000001,V
AB UMa,56792.2102,10.754000000000001,0.01,V
AB UMa,56792.2123,10.764000000000001,0.01,V
AB UMa,56792.2145,10.767000000000001,0.01,V
AB UMa,56792.2167,10.76,0.01,V
AB UMa,56792.2189,10.767000000000001,0.01,V
AB UMa,56792.2211,10.769,0.01,V
AB UMa,56792.2233,10.772,0.011000000000000001,V
AB UMa,56792.2254,10.779000000000002,0.011000000000000001,V
AB UMa,56792.2277,10.765999999999998,0.01,V
AB UMa,56792.2299,10.785,0.011000000000000001,V
AB UMa,56792.2321,10.784,0.011000000000000001,V
AB UMa,56792.2343,10.793,0.011000000000000001,V
AB UMa,56792.2364,10.796,0.011000000000000001,V
AB UMa,56792.2883,10.847999999999999,0.011000000000000001,V
AB UMa,56792.2906,10.859000000000002,0.011000000000000001,V
AB UMa,56792.2929,10.852,0.011000000000000001,V
AB UMa,56792.2952,10.85,0.011000000000000001,V
AB UMa,56792.2974,10.862,0.011000000000000001,V
AB UMa,56792.2997,10.854000000000001,0.011000000000000001,V
AB UMa,56792.302,10.850999999999999,0.011000000000000001,V
AB UMa,56792.3043,10.868,0.011000000000000001,V
AB UMa,56792.3066,10.865,0.011000000000000001,V
AB UMa,56792.3089,10.866,0.011000000000000001,V
AB UMa,56792.3111,10.876,0.011000000000000001,V
AB UMa,56792.3134,10.88,0.011000000000000001,V
AB UMa,56792.3157,10.882,0.011000000000000001,V
AB UMa,56792.318,10.888,0.011000000000000001,V
AB UMa,56792.3203,10.885,0.011000000000000001,V
AB UMa,56792.3225,10.89,0.011000000000000001,V
AB UMa,56792.3248,10.897,0.011000000000000001,V
AB UMa,56792.3271,10.888,0.011000000000000001,V
AB UMa,56792.3294,10.892000000000001,0.011000000000000001,V
AB UMa,56811.2615,10.856,0.011000000000000001,V
AB UMa,56811.2637,10.850999999999999,0.011000000000000001,V
AB UMa,56811.2658,10.838,0.011000000000000001,V
AB UMa,56811.268,10.835,0.011000000000000001,V
AB UMa,56811.2701,10.832,0.011000000000000001,V
AB UMa,56811.2724,10.824000000000002,0.011000000000000001,V
AB UMa,56811.2746,10.817,0.011000000000000001,V
AB UMa,56811.2768,10.804,0.011000000000000001,V
AB UMa,56811.2789,10.808,0.011000000000000001,V
AB UMa,56811.281,10.81,0.011000000000000001,V
AB UMa,56811.2832,10.793,0.011000000000000001,V
AB UMa,56811.2854,10.807,0.011000000000000001,V
AB UMa,56811.2875,10.8,0.011000000000000001,V
AB UMa,56811.2897,10.79,0.011000000000000001,V
AB UMa,56811.2918,10.785,0.011000000000000001,V
AB UMa,56811.294,10.777000000000001,0.011000000000000001,V
AB UMa,56811.2962,10.787,0.011000000000000001,V
AB UMa,56811.2983,10.780999999999999,0.011000000000000001,V
AB UMa,56811.3005,10.780999999999999,0.011000000000000001,V
AB UMa,56728.1864,10.911,0.013000000000000001,V
AB UMa,56728.1929,10.917,0.013000000000000001,V
AB UMa,56728.1949,10.932,0.013999999999999999,V
AB UMa,56728.1969,10.927999999999999,0.013000000000000001,V
AB UMa,56728.199,10.932,0.013000000000000001,V
AB UMa,56728.201,10.937000000000001,0.013000000000000001,V
AB UMa,56728.203,10.935,0.013000000000000001,V
AB UMa,56728.2051,10.911,0.013000000000000001,V
AB UMa,56728.2072,10.927999999999999,0.013000000000000001,V
AB UMa,56728.2092,10.934000000000001,0.013000000000000001,V
AB UMa,56728.2112,10.942,0.013999999999999999,V
AB UMa,56728.2131,10.95,0.013999999999999999,V
AB UMa,56728.2151,10.944,0.013000000000000001,V
AB UMa,56728.2172,10.947000000000001,0.013000000000000001,V
